,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002401.SZ,信息技术,中小企业板,否,2010,26.4,13300000,23713800,国融证券股份有限公司,"网下询价,上网定价",20,70.45454545,86.26642857
002402.SZ,信息技术,中小企业板,否,2010,35,16700000,43556300,国信证券股份有限公司,"网下询价,上网定价",21,34.65714286,85.94031437
002403.SZ,可选消费,中小企业板,否,2010,18.8,60000000,45382000,宏源证券股份有限公司,"网下询价,上网定价",21,0.053191489,56.31236458
002404.SZ,可选消费,中小企业板,否,2010,22,33500000,44800000,光大证券股份有限公司,"网下询价,上网定价",21,-1.909090909,52.61518284
002405.SZ,信息技术,中小企业板,否,2010,25.6,56000000,65827015.41,中信建投证券股份有限公司,"网下询价,上网定价",25,12.3828125,73.55589063
002406.SZ,可选消费,中小企业板,否,2010,26.6,47000000,35300400,中原证券股份有限公司,"网下询价,上网定价",25,-6.428571429,29.00602394
002407.SZ,材料,中小企业板,否,2010,39.39,27000000,72681627,平安证券股份有限公司,"网下询价,上网定价",25,-5.026656512,32.21886574
002408.SZ,材料,中小企业板,否,2010,28.88,65000000,110267060,华泰联合证券有限责任公司,"网下询价,上网定价",25,-7.548476454,29.11269423
002409.SZ,材料,中小企业板,否,2010,30,28000000,54328100,华泰证券股份有限公司,"网下询价,上网定价",25,8.833333333,67.49571429
002410.SZ,信息技术,中小企业板,否,2010,58,25000000,82420000,华泰证券股份有限公司,"网下询价,上网定价",25,-2.25862069,33.57681
002411.SZ,医疗保健,中小企业板,是,2010,25.8,21800000,38736600,广发证券股份有限公司,"网下询价,上网定价",25,52.3255814,88.30692087
002412.SZ,医疗保健,中小企业板,否,2010,35.8,19000000,31716500,宏源证券股份有限公司,"网下询价,上网定价",25,20.58659218,79.26113816
002413.SZ,工业,中小企业板,否,2010,18,37000000,21253300,中航证券有限公司,"网下询价,上网定价",21,15.88888889,71.49970608
002414.SZ,信息技术,中小企业板,否,2010,26,75000000,98721422.43,华泰联合证券有限责任公司,"网下询价,上网定价",21,-2.038461538,38.12331
002415.SZ,信息技术,中小企业板,否,2010,68,50000000,62479000,招商证券股份有限公司,"网下询价,上网定价",21,20.48529412,85.245885
